Gonzaga,27.1
Arizona,13.4
Kansas,8.3
Kentucky,6.9
Duke,6.3
Baylor,5.4
Auburn,4.3
Tennessee,4.2
Villanova,3.9
Purdue,2.4
Texas Tech,2
UCLA,2
Iowa,1.6
Houston,1.5
Wisconsin,1.3
Illinois,1
